# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0  in experiment E-PROT-11
# Selected columns: 27 (all)
# Timestamp: Fri, 17-May-2019 13:39:19
Gene ID	Gene Name	adrenal gland	brown adipose tissue	cerebellum	cerebral cortex	colon	cortex of kidney	diaphragm	duodenum	embryonic tissue	eye	heart	ileum	liver	lung	medulla oblongata	midbrain	olfactory bulb	ovary	pancreas	renal medulla	saliva-secreting gland	skeletal muscle	spleen	stomach	thymus	uterus	white adipose tissue
ENSMUSG00000000001	Gnai3	5.1003181353	0.9135655243	3.5786663128	0.8001408868	4.7819561733	46.0522125348	0.8453123786		205.0008989509	1.6533336592	0.3422289235	53.5068556689	4.4994899852	0.6322372334	2.9659948874	2.545677331	36.6556185816	107.9559864391	8.2937828916	3.4233728621	34.5509740491		16.8010030582	2.0644217262	41.7919167578	6.1767747141	10.6949676947
ENSMUSG00000000049	Apoh	13.3296666537	14.3971006932	6.2204325678		4.7890186926	36.1253389405	10.1226435035	11.2818738732		7.7324693496	3.8622813964	2.829125807	23.5429626375	75.7214705513		2.5786830848		25.8003590042	9.2792470811	15.8215542105	39.33585263	2.2881256867		15.8706723126	37.6421975198	163.2518000247	23.1275360365
ENSMUSG00000000056	Narf						0.2603301745			2.494566402		0.1587708771	0.6324243194	0.4805602492						0.8944962679		0.7277077067	0.5373345261			3.5974057542		
ENSMUSG00000000058	Cav2	124.6333902466	675.0087703271	16.9728901416	1.6944181091	27.5715710261	131.8925579154	58.7418314829	148.012954842	0.880656096	64.5196866137	41.8504469805	12.57407093		871.982374675	1.9673846338	8.6374103325		14.0815421292	8.6171667157	11.355701151	158.8086237115	29.4129671646	138.4286134363	46.5739049169	117.768914085	4.1034035246	108.1876621405
ENSMUSG00000000088	Cox5a	1204.3856991685	10950.4296798399	2195.5819650032	3364.6553960654	1545.6828034776	2407.8924898921	1348.4692192333	1877.394235931	41.9124328422	609.1597365398	7826.8180972571	1416.5437466332	1270.1673655485	325.2022294947	2556.613419328	1816.7278875558	1185.7552787945	314.8422925235	1154.2155237066	5685.0343033712	962.5426355973	1020.5459493033	541.3595664481	1177.5268754858	472.2663428261	496.66239277	674.5998989489
ENSMUSG00000000168	Dlat	352.6427103669	1951.3561893933	798.0885477155	279.3370001251	169.8788133391	455.8089458679	685.1997091776	190.1440661925	129.6366587658	140.0158200405	443.9339178796	190.0270991014	211.4617683105	93.0455353696	783.2570580239	306.5735095973	896.7228730696	299.255064535	188.3931382326	771.2338284799	348.6272153666	91.0633031191	130.1372330477	234.9152593107	318.8328317956	99.2446591936	547.1962578366
ENSMUSG00000000184	Ccnd2									33.1047339364																		
ENSMUSG00000000214	Th	405.8835922337			14.2638106219					0.8438814875		9.7490642477					5.0257774407	5.5386721197		47.4875909275								
ENSMUSG00000000253	Gmpr	5.5303566698	89.8572834933	55.9065685779	22.5837380447	15.96381603	104.6701230449	45.3599668523	10.8335243821	36.9035756479	5.5805415296	48.1521380887	0.2058096005	1.3635974097	13.869328293	48.4660586509	4.6168969516	46.645495792	119.1594532288	2.4607276991	43.7927514442	4.0416725705	40.66102276	0.2928464417	14.9358305543	74.9130423237	38.5649939282	6.7868116882
ENSMUSG00000000275	Trim25	0.5514938622	2.079535446	0.1602325793		9.0402769842	5.874234401		28.6108144124	2.0225086376		0.3981685901	25.5649219604	7.1475157534	8.7419030014	0.1036481606	0.2283748446	0.4703984177	6.5789272724	0.3698670046	1.8810171594	1.6553346237		0.9415921682	0.5194002447	0.9038312491	0.2227845444	0.4286353681
ENSMUSG00000000276	Dgke			3.7826912839												0.6341727847										0.3481579074		0.3086256276
ENSMUSG00000000278	Scpep1	161.4728024269	57.6411243179	15.5447153436	14.7032332872	77.8920213025	256.7779109407	3.0004066932	28.6274363659	9.3544817642	9.6097316793	9.6950570655	93.4984722428	102.9725851126	38.0059545342	17.8551655996	4.1521563956	2.6326404999	410.4073479509	22.2675457113	254.0800581233	5.9574944878	2.4002909187	68.198429991	55.6774244487	22.8933054866	147.9580584102	42.9451622084
ENSMUSG00000000295	Hddc2	3.8025629585		3.70381405		2.8939934148			1.8592209002			0.7128436124	0.844080084				11.771871225			8.2675695961			1.3631003697			17.7338605306	3.9183242225	
ENSMUSG00000000296	Tpd52l1	28.8498073669	3.600304891	10.2291971836	82.6333783186	43.1822610893	49.9478847772	15.1072412952	117.5393735127	9.1437721715	2.9319269482	1.0622777594	1.4716326	8.2414454163		19.6595821751	165.3816264101		150.0100553271	192.9506181293	35.9522255998	268.5481928771		3.7182914508	47.3622012549	13.7704070993	35.4478457306	4.2380586543
